dt;Цена на арматуру
07.01.2019 0:00;36000
14.01.2019 0:00;35700
21.01.2019 0:00;35300
28.01.2019 0:00;34000
04.02.2019 0:00;33800
11.02.2019 0:00;34550
18.02.2019 0:00;36000
25.02.2019 0:00;37700
04.03.2019 0:00;40200
11.03.2019 0:00;40200
18.03.2019 0:00;39900
25.03.2019 0:00;39400
01.04.2019 0:00;39300
08.04.2019 0:00;39500
15.04.2019 0:00;39500
22.04.2019 0:00;39300
29.04.2019 0:00;39300
06.05.2019 0:00;39300
13.05.2019 0:00;40300
20.05.2019 0:00;40000
27.05.2019 0:00;40200
03.06.2019 0:00;40200
10.06.2019 0:00;40300
17.06.2019 0:00;41500
24.06.2019 0:00;40500
01.07.2019 0:00;40500
08.07.2019 0:00;40300
15.07.2019 0:00;39800
22.07.2019 0:00;39800
29.07.2019 0:00;40200
05.08.2019 0:00;40300
12.08.2019 0:00;39200
19.08.2019 0:00;38700
26.08.2019 0:00;38200
02.09.2019 0:00;37700
09.09.2019 0:00;36900
16.09.2019 0:00;36200
23.09.2019 0:00;35000
30.09.2019 0:00;34200
07.10.2019 0:00;33500
14.10.2019 0:00;33300
21.10.2019 0:00;33500
28.10.2019 0:00;33300
04.11.2019 0:00;33800
11.11.2019 0:00;33500
18.11.2019 0:00;32300
25.11.2019 0:00;32200
02.12.2019 0:00;31800
09.12.2019 0:00;31100
16.12.2019 0:00;30600
23.12.2019 0:00;31400
30.12.2019 0:00;32900
06.01.2020 0:00;32900
13.01.2020 0:00;33400
20.01.2020 0:00;32500
27.01.2020 0:00;32890
03.02.2020 0:00;33400
10.02.2020 0:00;32800
17.02.2020 0:00;32000
24.02.2020 0:00;31500
02.03.2020 0:00;32500
09.03.2020 0:00;33500
16.03.2020 0:00;34000
23.03.2020 0:00;35000
30.03.2020 0:00;35000
06.04.2020 0:00;34500
13.04.2020 0:00;34000
20.04.2020 0:00;33500
27.04.2020 0:00;33500
04.05.2020 0:00;33500
11.05.2020 0:00;33500
18.05.2020 0:00;33500
25.05.2020 0:00;33500
01.06.2020 0:00;33000
08.06.2020 0:00;33000
15.06.2020 0:00;33000
22.06.2020 0:00;33700
29.06.2020 0:00;34500
06.07.2020 0:00;34500
13.07.2020 0:00;35000
20.07.2020 0:00;35000
27.07.2020 0:00;35100
03.08.2020 0:00;35100
10.08.2020 0:00;35200
17.08.2020 0:00;35500
24.08.2020 0:00;36500
31.08.2020 0:00;37200
07.09.2020 0:00;37500
14.09.2020 0:00;37500
21.09.2020 0:00;38000
28.09.2020 0:00;38500
05.10.2020 0:00;39500
12.10.2020 0:00;40000
19.10.2020 0:00;39500
26.10.2020 0:00;39500
02.11.2020 0:00;39500
09.11.2020 0:00;39500
16.11.2020 0:00;39500
23.11.2020 0:00;39500
30.11.2020 0:00;41500
07.12.2020 0:00;42500
14.12.2020 0:00;51000
21.12.2020 0:00;58000
28.12.2020 0:00;61000
04.01.2021 0:00;61000
11.01.2021 0:00;61000
18.01.2021 0:00;62000
25.01.2021 0:00;62000
01.02.2021 0:00;59000
08.02.2021 0:00;55000
15.02.2021 0:00;51500
22.02.2021 0:00;48500
01.03.2021 0:00;48000
08.03.2021 0:00;49000
15.03.2021 0:00;50500
22.03.2021 0:00;50800
29.03.2021 0:00;51500
05.04.2021 0:00;53500
12.04.2021 0:00;54500
19.04.2021 0:00;58500
26.04.2021 0:00;60500
03.05.2021 0:00;62500
10.05.2021 0:00;63500
17.05.2021 0:00;67000
24.05.2021 0:00;71900
31.05.2021 0:00;71900
07.06.2021 0:00;72500
14.06.2021 0:00;74000
21.06.2021 0:00;74000
28.06.2021 0:00;74000
05.07.2021 0:00;74000
12.07.2021 0:00;73500
19.07.2021 0:00;72500
26.07.2021 0:00;71500
02.08.2021 0:00;69500
09.08.2021 0:00;66000
16.08.2021 0:00;65000
23.08.2021 0:00;63500
30.08.2021 0:00;62000
06.09.2021 0:00;59000
13.09.2021 0:00;56500
20.09.2021 0:00;55000
27.09.2021 0:00;54000
04.10.2021 0:00;56800
11.10.2021 0:00;59000
18.10.2021 0:00;64000
25.10.2021 0:00;73000
01.11.2021 0:00;77000
08.11.2021 0:00;79000
15.11.2021 0:00;78000
22.11.2021 0:00;72500
29.11.2021 0:00;64000
06.12.2021 0:00;61500
13.12.2021 0:00;60500
20.12.2021 0:00;61500
27.12.2021 0:00;62500
03.01.2022 0:00;63500
10.01.2022 0:00;63500
17.01.2022 0:00;63700
24.01.2022 0:00;62500
31.01.2022 0:00;62900
07.02.2022 0:00;65000
14.02.2022 0:00;65500
21.02.2022 0:00;69000
28.02.2022 0:00;78000
07.03.2022 0:00;77000
14.03.2022 0:00;74000
21.03.2022 0:00;67000
28.03.2022 0:00;69500
04.04.2022 0:00;69500
11.04.2022 0:00;67500
18.04.2022 0:00;64000
25.04.2022 0:00;61500
02.05.2022 0:00;58000
09.05.2022 0:00;56000
16.05.2022 0:00;54000
23.05.2022 0:00;50000
30.05.2022 0:00;46000
06.06.2022 0:00;43500
13.06.2022 0:00;42000
20.06.2022 0:00;43000
27.06.2022 0:00;44000
04.07.2022 0:00;45000
11.07.2022 0:00;45500
18.07.2022 0:00;47000
25.07.2022 0:00;47500
01.08.2022 0:00;47500
08.08.2022 0:00;49000
15.08.2022 0:00;47500
22.08.2022 0:00;46500
29.08.2022 0:00;46000
